
Dunn Index
            comp        ave      cent
sin   0.02467344 0.07720733 0.1069478
comp  1.45428157 4.55069100 6.3036266
ave   0.62804517 1.96525871 2.7222804
cent  0.60418454 1.89059479 2.6188558
aveto 0.61189468 1.91472112 2.6522757
haus  0.55442671 1.73489417 2.4031790

Davies Index
           comp        ave       cent
sin   58.342774 21.1400813 15.3352618
comp   1.074508  0.4023628  0.2913129
ave    2.549920  0.9427028  0.6825459
cent   2.624384  0.9752619  0.7061098
aveto  2.594811  0.9635954  0.6976643
haus   2.934424  1.0705459  0.7762731

Silhouette Coefficient
[1] 0.6527311
